glyph_name,ps_name,USV,sort_final,in_neo
yanyazTawellemetLig-tifi,uni2D4F_uni2D7F_uni2D64,,2415.604,
yanyazTawellemetLig-tifi.rtl,uni2D4F_uni2D7F_uni2D64.rtl,,2415.60405,
yagnTuareg-tifi,uni2D50,U+2D50,2500,Y
yagnTuareg-tifi.v01,uni2D50.v01,,2500.01,
yangTuareg-tifi,uni2D51,U+2D51,2501,Y
yap-tifi,uni2D52,U+2D52,2502,Y
yu-tifi,uni2D53,U+2D53,2503,
yu-tifi.v01,uni2D53.v01,,2503.01,
yu-tifi.neo,uni2D53.neo,,2503.05,Y
yuyatLig-tifi,uni2D53_uni2D7F_uni2D5C,,2503.512,
yuyatLig-tifi.rtl,uni2D53_uni2D7F_uni2D5C.rtl,,2503.51205,
yuyatLig-tifi.v01,uni2D53_uni2D7F_uni2D5C.v01,,2503.5121,
yuyatLig-tifi.v01.rtl,uni2D53_uni2D7F_uni2D5C.v01.rtl,,2503.51215,
yuyatLig-tifi.v02,uni2D53_uni2D7F_uni2D5C.v02,,2503.5122,
yuyatLig-tifi.v02.rtl,uni2D53_uni2D7F_uni2D5C.v02.rtl,,2503.51225,
yuyatLig-tifi.v03,uni2D53_uni2D7F_uni2D5C.v03,,2503.5123,
yuyatLig-tifi.v03.rtl,uni2D53_uni2D7F_uni2D5C.v03.rtl,,2503.51235,
yar-tifi,uni2D54,U+2D54,2504,Y
yaryakTuaregLig-tifi,uni2D54_uni2D7F_uni2D3E,,2504.314,
yaryakTuaregLig-tifi.v01,uni2D54_uni2D7F_uni2D3E.v01,,2504.3141,
yaryanLig-tifi,uni2D54_uni2D7F_uni2D4F,,2504.415,
yaryatLig-tifi,uni2D54_uni2D7F_uni2D5C,,2504.512,
yaryatLig-tifi.rtl,uni2D54_uni2D7F_uni2D5C.rtl,,2504.51205,
yaryatLig-tifi.v01,uni2D54_uni2D7F_uni2D5C.v01,,2504.5121,
yaryatLig-tifi.v02,uni2D54_uni2D7F_uni2D5C.v02,,2504.5122,
yarr-tifi,uni2D55,U+2D55,2505,Y
yagh-tifi,uni2D56,U+2D56,2506,Y
yaghLabializationMarkLig-tifi,uni2D56_uni2D6F,,2506.9,Y
yaghTuareg-tifi,uni2D57,U+2D57,2507,Y
yaghAyer-tifi,uni2D58,U+2D58,2508,Y
yas-tifi,uni2D59,U+2D59,2509,Y
yasyakTuaregLig-tifi,uni2D59_uni2D7F_uni2D3E,,2509.314,
yasyanLig-tifi,uni2D59_uni2D7F_uni2D4F,,2509.415,
yasyatLig-tifi,uni2D59_uni2D7F_uni2D5C,,2509.5120,
yasyatLig-tifi.rtl,uni2D59_uni2D7F_uni2D5C.rtl,,2509.51205,
yasyatLig-tifi.v01,uni2D59_uni2D7F_uni2D5C.v01,,2509.5121,
yasyatLig-tifi.v01.rtl,uni2D59_uni2D7F_uni2D5C.v01.rtl,,2509.51215,
yasyatLig-tifi.v02,uni2D59_uni2D7F_uni2D5C.v02,,2509.5122,
yasyatLig-tifi.v02.rtl,uni2D59_uni2D7F_uni2D5C.v02.rtl,,2509.51225,
